line_id,value_date,narration,amount,balance,bank_ref,currency
bank_006018,09-Jul-2026,MMT/IMPS/ICICR62710277461/Settlement/RAZORPAY/164004338,86854.71,96240278.07,ICICI8036379,INR
bank_002256,06-Jul-2026,MMT/IMPS/ICICR47096610487/Settlement/RAZORPAY/375843807,109378.64,38372523.87,ICICI3070815,INR
bank_004748,14-07-2026,TRANSFER FROM SBINR86812934539 RAZORPAY SOFT PVT LTD REF 345523789,2176.83,78134126.14,SBI3399243,INR
bank_003328,14-07-2026,TRANSFER FROM SBINR78201458727 RAZORPAY SOFT PVT LTD REF 279500900,74420.62,53041253.80,SBI1712847,INR
bank_001442,23-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 230726,1621.00,24577246.52,ICICI7835987,INR
bank_000484,27-07-2026,TRANSFER FROM SBINR31828147669 RAZORPAY SOFT PVT LTD REF 168052913,513.11,9728716.41,SBI6686711,INR
bank_007454,14-Jul-2026,MMT/IMPS/ICICR53960665329/Settlement/RAZORPAY/131025708,4400.63,113697758.28,ICICI1416899,INR
bank_003464,09-Jul-2026,MMT/IMPS/ICICR98046540695/Settlement/RAZORPAY/136546586,154943.24,54124373.50,ICICI9555366,INR
bank_002231,2026-07-09,BY TRANSFER-NEFT*AXIS0002006*AXISP2615062,"5,29,567.62","3,82,39,631.17",AXIS3956269,INR
bank_002911,2026-07-03,BY TRANSFER-NEFT*AXIS0005683*AXISP16697673840*RAZORPAY SOFTWARE,"8,868.00","4,64,07,206.94",AXIS4904562,INR
bank_005755,24-07-2026,TRANSFER FROM SBINR59463678149 RAZORPAY SOFT PVT LTD REF 365589729,196713.00,93693973.62,SBI4444777,INR
bank_000187,07-Jul-2026,MMT/IMPS/ICICR96397026949/Settlement/RAZORPAY/555922614,73006.40,4053234.09,ICICI4723013,INR
bank_003284,2026-07-15,BY TRANSFER-NEFT*AXIS0001613*AXISP09049775920*RAZORPAY SOFTWARE,"1,03,461.37","5,19,17,512.05",AXIS9286271,INR
bank_000751,29/07/2026,NEFT-HDFCN72091220891-RAZORPAY SOFTWARE PRIVATE LIMITED-261896057,632.48,"1,15,30,050.33",HDFC3614251,INR
bank_000047,29-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,470498.34,1086732.65,ICICI6626732,INR
bank_000401,16-07-2026,TRANSFER FROM SBINR11403546009 RAZORPAY SOFT PVT LTD REF 464754459,497.00,8023814.96,SBI1965886,INR
bank_000831,2026-07-14,BY TRANSFER-NEFT*AXIS0002812*AXISP54378911247*RAZORPAY SOFTWARE,"8,823.05","1,35,81,816.60",AXIS2138928,INR
bank_006995,17-Jul-2026,MMT/IMPS/ICICR88556078083/Settlement/RAZORPAY/776306959,5346.00,108803703.55,ICICI8026538,INR
bank_002374,14/07/2026,NEFT-HDFCN72262900786-RAZORPAY SOFTWARE PRIVATE LIMITED-871827137,"32,892.93","4,03,26,158.23",HDFC6011531,INR
bank_006158,10-Aug-2026,MMT/IMPS/ICICR19424187698/Settlement/RAZORPAY/285859290,50224.77,98482705.17,ICICI9896031,INR
bank_002842,2026-07-16,BY TRANSFER-NEFT*AXIS0005709*AXISP85150910326*RAZORPAY SOFTWARE,161.09,"4,46,41,949.98",AXIS6427906,INR
bank_000196,09-Jul-2026,MMT/IMPS/ICICR73438919214/Settlement/RAZORPAY/278831754,1931.70,4055165.79,ICICI7587709,INR
bank_007652,13/07/2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 130726,"1,569.01","11,55,99,744.79",HDFC9086369,INR
bank_004973,31/07/2026,BY TRF NEFT-HDFCN68171582174-RAZORPAY SOFTWARE PRIVATE LIMITED-190161284 BAL 85133024 31072026,"4,91,388.05","8,15,51,782.59",HDFC6627310,INR
bank_004226,09-07-2026,TRANSFER FROM SBINR55716435293 RAZORPAY SOFT PVT LTD REF 152248777,40.92,68678758.01,SBI3273243,INR
bank_007040,20-Jul-2026,INTEREST CREDIT SAVINGS ACCOUNT QUARTERLY,113198.88,109089588.51,ICICI9888245,INR
bank_007550,03-Jul-2026,MMT/IMPS/ICICR48007237610/Settlement/RAZORPAY/153273901,14110.40,114949355.92,ICICI6415414,INR
bank_004154,2026-07-31,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,"1,12,476.30","6,81,08,649.89",AXIS1587703,INR
bank_006681,14/07/2026,NEFT-HDFCN64261670012-RAZORPAY SOFTWARE PRIVATE LIMITED-529944886,"80,236.07","10,49,49,008.70",HDFC1303705,INR
bank_000941,28-Jul-2026,INB MMT/IMPS/ICICR22483301803/Settlement/RAZORPAY/975854173 BAL 29306259 28072026,313725.13,14999473.67,ICICI3290418,INR
bank_004829,06-07-2026,TRANSFER FROM SBINR32033034569 RAZORPAY SOFT PVT LTD REF 558850961,14890.76,78374012.78,SBI9706418,INR
bank_000526,24/07/2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 240726,"1,04,080.65","1,07,62,301.28",HDFC8853629,INR
bank_003110,31-07-2026,NEFT INWARD RVSL1680358331 RAZORPAY SOFTWARE,220943.03,50111063.06,SBI2347623,INR
bank_005364,24-Jul-2026,MMT/IMPS/ICICR80750208735/Settlement/RAZORPAY/942809273,109540.87,86313642.27,ICICI4817150,INR
bank_000103,03/08/2026,NEFT-HDFCN07013160948-RAZORPAY SOFTWARE PRIVATE LIMITED-743358943,"4,832.20","27,55,731.78",HDFC2436748,INR
bank_000680,31-07-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,117815.96,11364756.27,SBI8447430,INR
bank_004611,29-07-2026,TRANSFER FROM SBINR74775383,8081.26,74551981.00,SBI9219423,INR
bank_000493,2026-07-17,BY TRANSFER-NEFT*AXIS0004315*AXISP84907451348*RAZORPAY SOFTWARE,"1,404.63","97,30,121.04",AXIS2440636,INR
bank_003156,2026-08-04,BY TRANSFER-NEFT*AXIS0005051*AXISP06514105585*RAZORPAY SOFTWARE,814.32,"5,01,21,821.21",AXIS2716163,INR
bank_001033,2026-07-24,BY TRANSFER-NEFT*AXIS0003320*AXISP97408945873*RAZORPAY SOFTWARE,"1,428.20","1,72,92,650.21",AXIS2793306,INR
bank_005916,28/07/2026,NEFT-HDFCN45806685158-RAZORPAY SOFTWARE PRIVATE LIMITED-375626944,"2,503.00","9,56,79,783.32",HDFC6684118,INR
bank_004991,07-07-2026,ACH C- TRANSFER FROM SBINR72541887788 RAZORPAY SOFT PVT LTD REF 819143423 BAL 38002698 07072026,39733.11,81599349.36,SBI8003916,INR
bank_006609,13/07/2026,NEFT-HDFCN84706326282-RAZORPAY SOFTWARE PRIVATE LIMITED-965291858,"89,590.34","10,40,03,002.62",HDFC2820970,INR
bank_004534,21/07/2026,NEFT-HDFCN92234393677-RAZORPAY SOFTWARE PRIVATE LIMITED-829482050,237.99,"7,18,20,855.54",HDFC4172130,INR
bank_001237,09-Nov-2026,MMT/IMPS/ICICR96863595272/Settlement/RAZORPAY/696705043,521.40,20945352.69,ICICI8036768,INR
bank_002662,08-07-2026,TRANSFER FROM SBINR63065185505 RAZORPAY SOFT PVT LTD REF 673169201,63590.79,42865181.18,SBI7965079,INR
bank_001436,2026-07-07,BY TRF BY TRANSFER-NEFT*AXIS0002620*AXISP29385559690*RAZORPAY SOFTWARE BAL 55866964 07072026,"9,221.00","2,45,75,625.52",AXIS7069764,INR
bank_000370,24/07/2026,NEFT INWARD RVSL4871108680 RAZORPAY SOFTWARE,"1,20,481.34","73,30,103.61",HDFC6343228,INR
bank_001590,31/07/2026,NEFT-HDFCN55264613518-RAZORPAY SOFTWARE PRIVATE LIMITED-650240392,"5,186.35","2,71,97,523.15",HDFC9168092,INR
bank_000461,24-07-2026,TRANSFER FROM SBINR98471216479 RAZORPAY SOFT PVT LTD REF 874489264,12459.58,8668069.42,SBI9097944,INR
bank_004923,20-Jul-2026,MMT/IMPS/ICICR40450879960/Settlement/RAZORPAY/853159591,512.42,80161953.59,ICICI4500302,INR
bank_007788,30/07/2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,"40,082.72","11,91,50,495.23",HDFC8808477,INR
bank_005388,22/07/2026,NEFT-HDFCN36749847661-RAZORPAY SOFTWARE PRIVATE LIMITED-360885618,"5,07,544.44","8,77,24,070.70",HDFC4114109,INR
bank_004653,21-07-2026,TRANSFER FROM SBINR17667037832 RAZORPAY SOFT PVT LTD REF 366272994,7737.54,74911705.44,SBI7746969,INR
bank_006570,2026-07-27,BY TRANSFER-NEFT*AXIS0007633*AXISP49577764283*RAZORPAY SOFTWARE,"3,16,128.08","10,38,71,733.93",AXIS7622286,INR
bank_002320,2026-07-27,BY TRANSFER-NEFT*AXIS0009090*AXISP04668735609*RAZORPAY SOFTWARE,784.28,"3,90,73,512.85",AXIS5362222,INR
bank_000985,14-Jul-2026,MMT/IMPS/ICICR54445557842/Settlement/RAZORPAY/485309090,691654.07,16368060.07,ICICI8826644,INR
bank_007348,21-07-2026,TRANSFER FROM SBINR49370361389 RAZORPAY SOFT PVT LTD REF 816813002,3451.01,112436707.37,SBI6637439,INR
bank_004979,24-Jul-2026,MMT/IMPS/ICICR46077909424/Settlement/RAZORPAY/549519783,7833.66,81559616.25,ICICI7737401,INR
bank_001683,03-Jul-2026,RTGS-ICICR75535745453-RAZORPAY PART 2 OF 2,122938.79,29607667.54,ICICI9667939,INR
bank_000053,28/07/2026,NEFT-HDFCN38186895,732.00,"10,87,464.65",HDFC9369343,INR
bank_004528,2026-07-28,NEFT CR RAZORPAY SOFTWARE PVT LTD 280726,"16,137.96","7,18,20,617.55",AXIS1804592,INR
bank_004016,2026-07-29,NEFT CR RAZORPAY SOFTWARE PVT LTD 290726,"32,232.00","6,70,94,459.86",AXIS7636895,INR
bank_005736,2026-07-30,INB BY TRANSFER-NEFT*AXIS0003693*AXISP69488541048*RAZORPAY SOFTWARE BAL 57563885 30072026,"3,325.31","9,34,37,703.56",AXIS6090434,INR
bank_001313,14/07/2026,NEFT-HDFCN47594407591-RAZORPAY SOFTWARE PRIVATE LIMITED-593895148,"71,639.60","2,23,28,913.16",HDFC9913252,INR
bank_002779,28-07-2026,TRANSFER FROM SBINR07435523621 RAZORPAY SOFT PVT LTD REF 770166339,5197.69,43716969.33,SBI1499879,INR
bank_006639,23/07/2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,"1,668.67","10,40,75,721.08",HDFC1620518,INR
bank_004925,2026-07-08,INTEREST CREDIT SAVINGS ACCOUNT QUARTERLY,"4,64,128.99","8,06,26,082.58",AXIS8817984,INR
bank_006146,09/07/2026,NEFT-HDFCN24564276085-RAZORPAY SOFTWARE PRIVATE LIMITED-543795383,"73,342.86","9,84,32,480.40",HDFC6874570,INR
bank_002984,29/07/2026,NEFT-HDFCN44159653881-RAZORPAY SOFTWARE PRIVATE LIMITED-723002251,"7,73,129.67","4,89,99,768.38",HDFC9922546,INR
bank_006627,20/07/2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 200726,"5,555.58","10,40,73,284.79",HDFC2589479,INR
bank_005822,2026-07-15,BY TRANSFER-NEFT*AXIS0008952*AXISP874068,"5,02,392.66","9,45,78,793.09",AXIS2100543,INR
bank_007100,28/07/2026,NEFT-HDFCN26392734827-RAZORPAY SOFTWARE PRIVATE LIMITED-872092796,"11,083.00","10,94,82,250.02",HDFC6852242,INR
bank_007704,27-07-2026,ACH C- TRANSFER FROM SBINR41780451731 RAZORPAY SOFT PVT LTD REF 145667974 BAL 60452988 27072026,5033.00,116440667.49,SBI3952332,INR
bank_002205,2026-07-07,ACH C- BY TRANSFER-NEFT*AXIS0005671*AXISP78539803250*RAZORPAY SOFTWARE BAL 41942043 07072026,"79,801.02","3,70,31,702.65",AXIS8178509,INR
bank_007112,22/07/2026,NEFT-HDFCN5484095,"4,10,280.92","10,98,92,530.94",HDFC4939230,INR
bank_003574,30/07/2026,NEFT-HDFCN37091372541-RAZORPAY SOFTWARE PRIVATE LIMITED-983406315,"6,29,064.91","5,71,93,792.77",HDFC6590361,INR
bank_002140,28-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,896233.81,36792024.27,ICICI6915085,INR
bank_005637,04-Aug-2026,MMT/IMPS/ICICR83471090218/Settlement/RAZORPAY/251707942,6733.33,91460001.45,ICICI1255042,INR
bank_003386,2026-07-17,RTGS CONSOLIDATED PAYOUT RAZORPAY 5 BATCHES,"1,25,018.48","5,33,06,464.47",AXIS8322751,INR
bank_001972,21-07-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD,22503.81,33130019.73,SBI4971763,INR
bank_000970,2026-07-06,BY TRANSFER-NEFT*AXIS0008389*AXISP76158878913*RAZORPAY SOFTWARE,"7,054.28","1,56,67,030.97",AXIS2067527,INR
bank_006033,08-Jul-2026,CMS MMT/IMPS/ICICR70688854715/Settlement/RAZORPAY/761474840 BAL 62760413 08072026,5036.00,96256445.07,ICICI7070447,INR
bank_006633,2026-07-29,BY TRANSFER-NEFT*AXIS0005607*AXISP04094478556*RAZORPAY SOFTWARE,767.62,"10,40,74,052.41",AXIS9116177,INR
bank_006933,23-07-2026,TRANSFER FROM SBINR68751395,56792.25,108422189.97,SBI3059185,INR
bank_005415,2026-07-09,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,"11,075.31","8,84,10,459.18",AXIS1874584,INR
bank_006552,2026-08-03,BY TRANSFER-NEFT*AXIS0004397*AXISP45665673160*RAZORPAY SOFTWARE,"3,70,039.00","10,35,52,704.49",AXIS7482862,INR
bank_005457,2026-07-29,BY TRANSFER-NEFT*AXIS0001918*AXISP28880719642*RAZORPAY SOFTWARE,337.00,"8,91,76,847.11",AXIS6795077,INR
bank_002518,2026-07-14,BY TRANSFER-NEFT*AXIS0003854*AXISP96839262602*RAZORPAY SOFTWARE,"9,508.96","4,17,79,115.34",AXIS4380886,INR
bank_004939,2026-07-09,RTGS-AXISP32319824357-RAZORPAY PART 1 OF 2,"1,68,454.49","8,08,82,658.07",AXIS3952087,INR
bank_006701,10-07-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 3 BATCHES,22345.64,104971354.34,SBI6000944,INR
bank_007583,2026-07-20,BY TRANSFER-NEFT*AXIS0001507*AXISP41613222070*RAZORPAY SOFTWARE,"11,214.93","11,50,88,412.35",AXIS7751080,INR
bank_007222,09-Jul-2026,MMT/IMPS/ICICR85966559226/Settlement/RAZORPAY/812838650,9625.00,110235700.91,ICICI7001024,INR
bank_002020,09-Jul-2026,MMT/IMPS/ICICR81633069419/Settlement/RAZORPAY/399851609,407119.98,34559698.06,ICICI1627320,INR
bank_003904,21/07/2026,NEFT-HDFCN92672319136-RAZORPAY SOFTWARE PRIVATE LIMITED-521844830,"61,156.08","6,46,71,193.98",HDFC3110310,INR
bank_004187,2026-07-20,BY TRANSFER-NEFT*AXIS0001174*AXISP62059914287*RAZORPAY SOFTWARE,938.00,"6,84,74,341.25",AXIS4003090,INR
bank_004899,2026-07-10,BY TRANSFER-NEFT*AXIS0007868*AXISP62059785501*RAZORPAY SOFTWARE,828.16,"8,01,43,936.48",AXIS4611062,INR
bank_000395,21/07/2026,NEFT-HDFCN65372538048-RAZORPAY SOFTWARE PRIVATE LIMITED-236182730,"1,814.21","80,23,317.96",HDFC3487015,INR
bank_005528,29-07-2026,TRANSFER FROM SBINR43228913149 RAZORPAY SOFT PVT LTD REF 341775189,293.90,89311898.33,SBI8568886,INR
bank_004861,30-Jul-2026,RTGS INWARD WORKING CAPITAL DISBURSAL 246082534,235140.43,79367308.05,ICICI5489520,INR
bank_002422,2026-07-23,BY TRANSFER-NEFT*AXIS0007635*AXISP94540056434*RAZORPAY SOFTWARE,"54,147.00","4,06,42,297.88",AXIS7150396,INR
bank_000452,2026-07-10,BY TRANSFER-NEFT*AXIS0002306*AXISP06685451799*RAZORPAY SOFTWARE,"10,074.00","86,55,609.84",AXIS5814053,INR
bank_001358,28-07-2026,TRANSFER FROM SBINR04277594695 RAZORPAY SOFT PVT LTD REF 914426018,788204.18,23404912.12,SBI5131719,INR
bank_007822,2026-07-17,RTGS-AXISP35262679514-RAZORPAY PART 2 OF 2,"1,15,249.27","11,95,53,576.22",AXIS2408629,INR
bank_005255,08-07-2026,TRANSFER FROM SBINR32223933404 RAZORPAY SOFT PVT LTD REF 800562792,541.00,85223115.38,SBI3301129,INR
bank_004516,07/07/2026,NEFT-HDFCN10550659063-RAZORPAY SOFTWARE PRIVATE LIMITED-458231221,"5,115.00","7,18,04,479.59",HDFC3434570,INR
bank_001006,28/07/2026,NEFT-HDFCN08664920679-RAZORPAY SOFTWARE PRIVATE LIMITED-653204628,"8,90,142.18","1,72,70,858.01",HDFC6179152,INR
bank_005472,08-Jul-2026,MMT/IMPS/ICICR89223110909/Settlement/RAZORPAY/479189338,9979.56,89187800.67,ICICI5222237,INR
bank_004202,03-08-2026,TRANSFER FROM SBINR54750174546 RAZORPAY SOFT PVT LTD REF 199832283,845.99,68550084.04,SBI7967127,INR
bank_002996,2026-07-14,ACH C- BY TRANSFER-NEFT*AXIS0006093*AXISP28401330369*RAZORPAY SOFTWARE BAL 12068957 14072026,"3,328.00","4,90,03,779.38",AXIS6980692,INR
bank_006845,29-Jul-2026,MMT/IMPS/ICICR12097202756/Settlement/RAZORPAY/595392105,104.60,105995064.76,ICICI5230264,INR
bank_005795,17-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 170726,83485.56,93982846.98,ICICI8468846,INR
bank_007165,2026-07-09,BY TRANSFER-NEFT*AXIS0007768*AXISP91778489670*RAZORPAY SOFTWARE,"1,147.82","10,99,81,918.71",AXIS8393701,INR
bank_001180,07-Jul-2026,MMT/IMPS/ICICR26604097373/Settlement/RAZORPAY/166404885,4762.99,20667779.60,ICICI9174851,INR
bank_004641,20-Jul-2026,MMT/IMPS/ICICR25256396890/Settlement/RAZORPAY/515384619,12431.96,74584539.90,ICICI1853211,INR
bank_003672,23-07-2026,TRANSFER FROM SBINR42130669750 RAZORPAY SOFT PVT LTD REF 688835326,6481.00,59532276.16,SBI5509067,INR
bank_006710,23-Jul-2026,MMT/IMPS/ICICR97083019747/Settlement/RAZORPAY/714853235,45352.80,105016707.14,ICICI7616393,INR
bank_002190,21-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,54744.00,36951132.23,ICICI1835259,INR
bank_005451,2026-07-14,INTEREST CREDIT SAVINGS ACCOUNT QUARTERLY,"3,57,209.74","8,91,76,510.11",AXIS9970614,INR
bank_002347,10/07/2026,NEFT-HDFCN12395773077-RAZORPAY SOFTWARE PRIVATE LIMITED-630476199,781.28,"4,02,25,888.10",HDFC3002648,INR
bank_004805,28-07-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,149754.25,78349030.97,SBI4833161,INR
bank_006232,05-Aug-2026,MMT/IMPS/ICICR66040343314/Settlement/RAZORPAY/522834071,1431.19,98823982.10,ICICI6533696,INR
bank_006122,22-Jul-2026,NEFT RETURN RVSL5862926119 BENEFICIARY ACCOUNT CLOSED,-117791.94,98244586.63,ICICI2038449,INR
bank_000840,2026-07-16,CMS BY TRANSFER-NEFT*AXIS0003284*AXISP36123695003*RAZORPAY SOFTWARE BAL 20846162 16072026,"10,044.73","1,35,91,861.33",AXIS4705688,INR
bank_002824,30-07-2026,TRANSFER FROM SBINR26256199195 RAZORPAY SOFT PVT LTD REF 952752677,9014.39,44640873.85,SBI2360143,INR
bank_006537,10-07-2026,TRANSFER FROM SBINR04200580094 RAZORPAY SOFT PVT LTD REF 105210436,4391.00,103172234.49,SBI3708687,INR
bank_001728,04-08-2026,BY TRF TRANSFER FROM SBINR46609786935 RAZORPAY SOFT PVT LTD REF 856741947 BAL 42289620 04082026,787.07,29692602.19,SBI8770952,INR
bank_006400,2026-07-08,NEFT INWARD RVSL2101722771 RAZORPAY SOFTWARE,"2,26,093.91","10,13,62,145.49",AXIS5786385,INR
bank_007087,2026-07-09,RTGS CONSOLIDATED PAYOUT RAZORPAY 3 BATCHES,"2,02,107.54","10,94,71,167.02",AXIS6927954,INR
bank_007748,08-07-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 3 BATCHES,868186.39,118530416.93,SBI1716158,INR
bank_004708,22/07/2026,NEFT-HDFCN13803222834-RAZORPAY SOFTWARE PRIVATE LIMITED-241772788,"2,68,942.62","7,68,31,883.91",HDFC4819338,INR
bank_001556,2026-07-10,BY TRANSFER-NEFT*AXIS0007131*AXISP58454494412*RAZORPAY SOFTWARE,"15,165.08","2,71,18,654.85",AXIS9799122,INR
bank_000181,21-Jul-2026,MMT/IMPS/ICICR70835926327/Settlement/RAZORPAY/701615994,991376.39,3980227.69,ICICI8729224,INR
bank_001798,2026-07-06,BY TRANSFER-NEFT*AXIS0001146*AXISP91382776785*RAZORPAY SOFTWARE,"92,292.33","3,13,60,282.96",AXIS3486603,INR
bank_005194,08/07/2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,654.19,"8,37,95,688.14",HDFC6282033,INR
bank_004181,2026-07-22,NEFT RETURN RVSL8646628081 BENEFICIARY ACCOUNT CLOSED,"-2,29,095.88","6,84,73,403.25",AXIS7594045,INR
bank_003458,09-Jul-2026,MMT/IMPS/ICICR38908514842/Settlement/RAZORPAY/484780377,986.00,53969430.26,ICICI2726466,INR
bank_007698,2026-07-16,BY TRANSFER-NEFT*AXIS0005533*AXISP86302895695*RAZORPAY SOFTWARE,"16,914.09","11,64,35,634.49",AXIS9622844,INR
bank_000763,03/07/2026,NEFT-HDFCN08586752967-RAZORPAY SOFTWARE PRIVATE LIMITED-160407614,"13,35,555.79","1,28,65,606.12",HDFC3708018,INR
bank_000541,04-Aug-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,348.02,10901129.55,ICICI4809535,INR
bank_002963,2026-07-29,BY TRANSFER-NEFT*AXIS0001650*AXISP97530060642*RAZORPAY SOFTWARE,"97,344.13","4,82,25,810.71",AXIS8795888,INR
bank_000785,16/07/2026,NEFT-HDFCN08320400953-RAZORPAY SOFTWARE PRIVATE LIMITED-700693822,"91,569.00","1,32,12,176.89",HDFC1409732,INR
bank_007267,13-07-2026,RTGS-SBINR04069765442-RAZORPAY PART 1 OF 2,131408.26,111553976.14,SBI1583921,INR
bank_002632,14-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 140726,68000.24,42292590.58,ICICI3615614,INR
bank_007367,03-Aug-2026,RTGS-ICICR09210908927-RAZORPAY PART 2 OF 2,132959.94,112818557.97,ICICI4746818,INR
bank_006366,2026-07-26,NEFT-JYOTIINTERIORS-DIRECT PAYMENT,"2,86,644.23","10,02,19,728.42",AXIS6190887,INR
bank_005243,23/07/2026,NEFT-HDFCN33707364104-RAZORPAY SOFTWARE PRIVATE LIMITED-581040429,"1,955.16","8,52,18,453.00",HDFC8389061,INR
bank_000893,2026-07-16,BY TRANSFER-NEFT*AXIS0002671*AXISP36979317297*RAZORPAY SOFTWARE,"3,06,281.59","1,39,93,562.95",AXIS1966096,INR
bank_007357,24-07-2026,TRANSFER FROM SBINR19023523420 RAZORPAY SOFT PVT LTD REF 362087011,115930.72,112552638.09,SBI5694463,INR
bank_007379,06-Jul-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,448.71,112867805.52,ICICI2018655,INR
bank_004354,2026-07-30,NEFT CR RAZORPAY SOFTWARE PVT LTD 300726,"95,536.02","6,95,55,537.68",AXIS4554633,INR
bank_005901,31/07/2026,NEFT-HDFCN18810309607-RAZORPAY SOFTWARE PRIVATE LIMITED-802271093,"15,159.00","9,56,71,967.34",HDFC2323451,INR
bank_003082,2026-07-09,RTGS-AXISP53799653920-RAZORPAY PART 1 OF 2,"1,32,541.40","4,94,60,190.01",AXIS3269245,INR
bank_003302,30-Jul-2026,MMT/IMPS/ICICR77486992790/Settlement/RAZORPAY/468527583,356015.00,52297537.05,ICICI4186388,INR
bank_000642,14-07-2026,TRANSFER FROM SBINR85685122984 RAZORPAY SOFT PVT LTD REF 865221267,9918.50,11246829.98,SBI8694141,INR
bank_001562,13-Jul-2026,MMT/IMPS/ICICR0220,713.75,27119368.60,ICICI1005004,INR
bank_007241,03-08-2026,TRANSFER FROM SBINR67563947902 RAZORPAY SOFT PVT LTD REF 276185104,163642.50,111169500.45,SBI7227996,INR
bank_005218,14-07-2026,TRANSFER FROM SBINR22011597272 RAZORPAY SOFT PVT LTD REF 240559262,106423.91,84168501.89,SBI5085180,INR
bank_005856,20/07/2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 200726,"1,797.41","9,53,80,395.68",HDFC7395231,INR
bank_004339,2026-08-03,CMS BY TRANSFER-NEFT*AXIS0005799*AXISP94640239511*RAZORPAY SOFTWARE BAL 35841013 03082026,"62,139.81","6,93,91,809.27",AXIS7511239,INR
bank_005140,31-Jul-2026,MMT/IMPS/ICICR0101820,507609.00,83748027.38,ICICI9338283,INR
bank_003666,13-07-2026,TRANSFER FROM SBINR53838814834 RAZORPAY SOFT PVT LTD REF 187167417,57889.35,59525795.16,SBI5218275,INR
bank_001222,06-07-2026,TRANSFER FROM SBINR51596840107 RAZORPAY SOFT PVT LTD REF 153520170,165.01,20944098.40,SBI1376259,INR
bank_000914,2026-07-29,BY TRANSFER-NEFT*AXIS0001109*AXISP21306878404*RAZORPAY SOFTWARE,"4,341.56","1,40,29,676.11",AXIS3250182,INR
bank_003200,22-07-2026,TRANSFER FROM SBINR65774100042 RAZORPAY SOFT PVT LTD REF 688472668,498.64,51435260.16,SBI9598318,INR
bank_003855,29/07/2026,NEFT-HDFCN74941874281-RAZORPAY SOFTWARE PRIVATE LIMITED-841209100,"93,230.83","6,40,95,663.50",HDFC2012385,INR
bank_007306,2026-07-21,BY TRANSFER-NEFT*AXIS0006040*AXISP33384058971*RAZORPAY SOFTWARE,"18,898.62","11,18,73,453.17",AXIS9019549,INR
bank_007757,2026-07-21,RTGS-AXISP05041435159-RAZORPAY PART 1 OF 2,"1,94,279.94","11,87,24,696.87",AXIS7899199,INR
bank_001600,2026-07-17,NEFT CR RAZORPAY SOFTWARE PVT LTD,"64,412.12","2,72,61,935.27",AXIS9330735,INR
bank_001984,2026-07-06,CMS BY TRANSFER-NEFT*AXIS0006392*AXISP18141430054*RAZORPAY SOFTWARE BAL 53192290 06072026,"8,01,595.17","3,39,31,614.90",AXIS9382353,INR
bank_007496,2026-07-16,BY TRANSFER-NEFT*AXIS0002084*AXISP09727319409*RAZORPAY SOFTWARE,"3,990.55","11,37,84,299.87",AXIS4719028,INR
bank_001084,2026-07-28,BY TRANSFER-NEFT*AXIS0009136*AXISP152347,527.26,"1,78,89,031.28",AXIS2129241,INR
bank_001705,29-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 290726,7244.00,29677766.53,ICICI8962824,INR
bank_006264,17-07-2026,TRANSFER FROM SBINR78613193440 RAZORPAY SOFT PVT LTD REF 612878678,4564.00,99390261.86,SBI7203113,INR
bank_005889,06-07-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 060726,149391.87,95655834.94,SBI8697472,INR
bank_004881,14/07/2026,NEFT-HDFCN36967518616-RAZORPAY SOFTWARE PRIVATE LIMITED-524238385,"6,97,729.00","8,01,42,993.10",HDFC5211408,INR
bank_002499,09-Jul-2026,MMT/IMPS/ICICR95008064400/Settlement/RAZORPAY/857537332,667789.00,41533656.04,ICICI3885015,INR
bank_000630,28-Jul-2026,MMT/IMPS/ICICR21477146883/Settlement/RAZORPAY/629263989,3286.50,11236911.48,ICICI2221106,INR
bank_004315,28-07-2026,TRANSFER FROM SBINR00907188709 RAZORPAY SOFT PVT LTD REF 895700680,5831.48,69320986.50,SBI7766989,INR
